languageCode;en;es;tr;pl;da;cs
ForgotPasswordDenied_paragraph1;A password reset request was made for your Okta account. If you did not make this request, please contact your system administrator immediately.;Se realizó una solicitud de reinicio de contraseña para su cuenta Okta. Si no realizó esta solicitud, comuníquese con el administrador de su sistema de inmediato.;Okta hesabınız için bir şifre sıfırlama talebinde bulunuldu. Bu talep size ait değilse, lütfen hemen sistem yöneticinizle iletişime geçin.;Prośba o zresetowanie hasła do Twojego konta Okta zostało zgłoszona. Jeśli nie zgłaszałeś tej prośby, niezwłocznie skontaktuj się z administratorem systemu.;Der blev fremsat en anmodning om nulstilling af adgangskode til din Okta-konto. Hvis du ikke fremsatte denne anmodning, bedes du straks kontakte din systemadministrator.;Byl zadán požadavek na obnovu hesla k Vašemu účtu Okta. Pokud jste tento požadavek nepodali, neprodleně kontaktujte správce systému.
PasswordResetByAdmin_paragraph1;Your Okta password has been reset by your system administrator ${f.escapeHtml($!technicalContact.fullName)} at Knauf. ;Su contraseña Okta ha sido restablecida por su administrador del sistema ${f.escapeHtml($!technicalContact.fullName)} en Knauf.;Okta şifreniz KNAUF Sistem Yöneticiniz ${f.escapeHtml($!technicalContact.fullName)} tarafından sıfırlandı.;Twoje hasło Okta zostało zresetowane przez administratora systemu ${f.escapeHtml($!technicalContact.fullName)} w Knauf.;Din Okta-adgangskode er nulstillet af din systemadministrator ${f.escapeHtml($!technicalContact.fullName)} på Knauf.;Vaše heslo k účtu Okta bylo obnoveno správcem systému ${f.escapeHtml($!technicalContact.fullName)} ve společnosti Knauf.
PasswordResetByAdmin_paragraph2;"Click this link to reset the password for your username <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>: ";"Haga clic en este enlace para restablecer la contraseña de su usuario <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>:";"Kullanıcı adınız <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>'a ait şifreyi sıfırlamak için bu bağlantıya tıklayın.";"Kliknij ten link, aby zresetować hasło dla <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>";"Klik på dette link for at nulstille adgangskoden til dit brugernavn <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>:";"Kliknutím na tento odkaz obnovíte heslo pro své uživatelské jméno <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>: "
ForgotPassword_paragraph1;A password reset request was made for your <strong>Okta</strong> account. If you did not make this request, please contact your system administrator immediately. ;Se realizó una solicitud de reinicio de contraseña para su cuenta <strong>Okta</strong>. Si no realizó esta solicitud, comuníquese con el administrador de su sistema de inmediato.;<strong>Okta</strong> hesabınız için bir şifre sıfırlama talebinde bulunuldu. Bu talep size ait değilse, lütfen hemen sistem yöneticinizle iletişime geçin.;Prośba o zresetowanie hasła do Twojego konta <strong>Okta</strong> została zgłoszona. Jeśli nie zgłaszałeś tej prośby, niezwłocznie skontaktuj się z administratorem systemu.  ;Der blev fremsat en anmodning om nulstilling af adgangskode til din <strong>Okta</strong>-konto. Hvis du ikke fremsatte denne anmodning, bedes du straks kontakte din systemadministrator.;Byl zadán požadavek na obnovu hesla k Vašemu účtu <strong>Okta</strong>. Pokud jste tento požadavek nepodali, neprodleně kontaktujte správce systému.
ForgotPassword_paragraph2;"Click this link to reset the password for your username <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>: ";"Haga clic en este enlace para restablecer la contraseña de su usuario <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>:";"Kullanıcı adınız <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>'a ait şifreyi sıfırlamak için bu bağlantıya tıklayın.";"Kliknij ten link, aby zresetować hasło dla <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>";"Klik på dette link for at nulstille adgangskoden til dit brugernavn <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>:";"Kliknutím na tento odkaz obnovíte heslo pro své uživatelské jméno <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>: "
SelfServiceUnlock_paragraph1;An account unlock request was made for your <strong>Okta</strong> account. If you did not make this request, please contact your system administrator immediately. ;Se realizó una solicitud de desbloqueo de cuenta para su cuenta <strong>Okta</strong>. Si no realizó esta solicitud, comuníquese con el administrador de su sistema de inmediato.;Kilitli <strong>Okta</strong> hesabınız için bir hesap kilidi kaldırma talebinde bulunuldu. Bu talep size ait değilse, lütfen hemen sistem yöneticinizle iletişime geçin.;Została zgłoszona prośba o odbklokowanie Twojego konta <strong>Okta</strong>. Jeśli nie zagłaszałeś tej prośby, niezwłocznie skontaktuj się z administratorem systemu.  ;Der blev fremsat en anmodning om oplåsning af din <strong>Okta</strong>-konto. Hvis du ikke fremsatte denne anmodning, bedes du straks kontakte din systemadministrator.;Pro Váš účet <strong>Okta</strong> byl zadán požadavek na odemknutí účtu. Pokud jste tuto žádost nepodali, neprodleně kontaktujte správce systému.
SelfServiceUnlock_paragraph2;"Click this link to unlock the account for your username <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>:";"Haga clic en este enlace para desbloquear la cuenta para su usuario <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>:";"Kullanıcı adınız <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>'a ait şifreyi sıfırlamak için bu bağlantıya tıklayın.";"Kliknij ten link, aby odblokować konto <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>.";"Klik på dette link for at låse kontoen op for dit brugernavn <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>:";"Kliknutím na tento odkaz odemknete účet pro své uživatelské jméno <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong>:"
AccountLockout_paragraph1;Your <strong>Okta</strong> account has been locked due to too many failed login attempts.;Su cuenta <strong>Okta</strong> se ha bloqueado debido a demasiados intentos de inicio de sesión fallidos.;Okta hesabınız çok fazla başarısız giriş denemesi nedeniyle kilitlendi.;Twoje konto Okta zostało zablokowane z powodu zbyt wielu nieudanych prób logowania.;Din Okta-konto er blevet låst på grund af antal mislykkede login-forsøg.;Váš účet Okta byl zablokován z důvodu příliš mnoha neúspěšných pokusů o přihlášení.
AccountLockout_paragraph2;To reset your account, it may be possible to use the link below: ;Para recuperar su cuenta, haga click en el siguiente enlace:;Hesabınızı sıfırlamak için aşağıdaki bağlantıyı kullanmayı deneyebilirsiniz:;Aby zresetować konto, może być możliwe użycie poniższego linku:;For at nulstille din konto, kan det være muligt at bruge nedenstående link:;Pro obnovení účtu je možné použít níže uvedený odkaz: 
NewSignOnNotification_paragraph1;"Your <strong>Okta</strong> account <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong> was just used to sign-in from a new or unrecognized device, browser, or application. ";"Su cuenta de <strong>Okta</strong> <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong> ha sido usada para iniciar sesión desde un dispositivo, navegador o aplicación nuevo no reconocido.";"Az önce <strong>Okta</strong> hesabınız <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong> yeni veya tanınmayan bir cihazdan, tarayıcıdan ya da uygulamadan oturum açmak için kullanıldı.";"Twoje konto <strong>Okta</strong> <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong> było właśnie używane do logowania się z nowego lub nierozpoznanego urządzenia, przeglądarki lub aplikacji.";"Din <strong>Okta</strong>-konto <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong> er brugt til at logge ind fra en ny eller ukendt enhed, browser eller applikation.";"Váš účet <strong>Okta</strong> <strong><a style=""color: #334870; text-decoration: none"">${user.profile.login}</a></strong> byl právě použit k přihlášení z nového nebo nerozpoznaného zařízení, prohlížeče nebo aplikace."
NewSignOnNotification_paragraph2;"<strong>Sign-In Details</strong> <br />
  ${request.browser} <br />
  ${request.date} <br />
  ${request.location} <br />
  IP: ${request.ipAddress}";"<strong>Detalles de inicio de sesión</strong> <br />
  ${request.browser} <br />
  ${request.date} <br />
  ${request.location} <br />
  IP: ${request.ipAddress}";"<strong>Oturum açma ayrıntıları</strong> <br />
  ${request.browser} <br />
  ${request.date} <br />
  ${request.location} <br />
  IP: ${request.ipAddress}";"<strong>Szczegóły logowania</strong> <br />
  ${request.browser} <br />
  ${request.date} <br />
  ${request.location} <br />
  IP: ${request.ipAddress}";"<strong>Tilmeldingsoplysninger</strong> <br />
  ${request.browser} <br />
  ${request.date} <br />
  ${request.location} <br />
  IP: ${request.ipAddress}";"<strong>Podrobnosti o přihlášení</strong> <br />
  ${request.browser} <br />
  ${request.date} <br />
  ${request.location} <br />
  IP: ${request.ipAddress}"
NewSignOnNotification_paragraph3;"<strong>Don't recognize this activity? </strong>
<br />
Your account may have been compromised; we recommend reporting the suspicious activity to your organization. ";"<strong>¿No reconoces esta actividad?</strong>
<br />
Su cuenta puede haber sido comprometida, recomendamos informar la actividad sospechosa a su organización.";"<strong>Bu aktivite bilginiz dahilinde değil mi?</strong>
<br />
Hesabınız tehlikede olabilir. Şüpheli aktiviteyi kuruluşunuza bildirmenizi öneririz.";"<strong>Nie rozpoznajesz tej aktywności?</strong>
<br />
Bezpieczeństwo Twojego konto mogło zostać naruszone; Zalecamy zgłoszenie do Twojej organizacji podejrzanej aktywności .";"<strong>Genkender ikke denne aktivitet?</strong>
<br />
Din konto kan have været kompromitteret; Vi anbefaler at rapportere den mistænkelige aktivitet til din organisation.";"<strong>Nerozpoznáváte tuto aktivitu?</strong>
<br />
Váš účet mohl být napaden; doporučujeme nahlásit podezřelou aktivitu Vaší organizaci. "
EmailChallenge_paragraph1;You are receiving this email because a request was made for a one-time code that can be used for authentication.;Está recibiendo este correo electrónico porque se realizó una solicitud para un código único que se puede usar para la autenticación.;Kimlik doğrulama için kullanılabilecek tek seferlik bir kod talebinde bulunulduğu için bu e-postayı alıyorsunuz.;Otrzymujesz ten e-mail, ponieważ zgłoszono żądanie jednorazowego kodu, którego można użyć do uwierzytelniania.;Du modtager denne e-mail, fordi der blev anmodet om en engangskode, der kan bruges til godkendelse.;Tento e-mail jste obdrželi, protože byla podána žádost o jednorázový kód, který lze použít k ověření.
EmailChallenge_paragraph2;Please enter the following code for verification: ;Ingrese el siguiente código para la verificación:;Doğrulama için lütfen aşağıdaki kodu girin:;Wprowadź następujący kod do weryfikacji:;Indtast følgende kode til verifikation:;Zadejte prosím následující kód pro ověření:
UserActivation_activateAccountButtonText;Activate your account;Active su cuenta;Hesabınızı etkinleştirin;Aktywuj swoje konto;Aktivér din konto;Aktivace účtu
UserActivation_paragraph3;This link expires in ${f.formatTimeDiffHoursNowInUserLocale($!org.activationTokenExpirationHours)}.;Este enlace expira en ${f.formatTimeDiffHoursNowInUserLocale($!org.activationTokenExpirationHours)}.;Bu bağlantı ${f.formatTimeDiffHoursNowInUserLocale($!org.activationTokenExpirationHours)} içerisinde geçerliliğini kaybedecektir.;Ten link wygasa za ${f.formatTimeDiffHoursNowInUserLocale($!org.activationTokenExpirationHours)};Dette link udløber om ${f.formatTimeDiffHoursNowInUserLocale($!org.activationTokenExpirationHours)}.;Tento odkaz vyprší za ${f.formatTimeDiffHoursNowInUserLocale($!org.activationTokenExpirationHours)}.
ForgotPassword_resetPasswordButtonText;Reset Password;Restablecer contraseña;Parolayı sıfırla;Zresetuj hasło;Nulstil adgangskode;Obnovení hesla
ForgotPassword_paragraph3;This link expires in ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)}. ;Este enlace expira en ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)}.;Bu bağlantı ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)} içerisinde geçerliliğini kaybedecektir.;Ten link wygasa w ciągu ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)};Dette link udløber efter ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)}.;Tento odkaz vyprší za ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)}.
PasswordResetByAdmin_resetPasswordButtonText;Reset Password;Restablecer contraseña;Parolayı sıfırla;Zresetuj hasło;Nulstil adgangskode;Obnovení hesla
PasswordResetByAdmin_paragraph3;This link expires in ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)}. ;Este enlace expira en ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)}.;Bu bağlantı ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)} içerisinde geçerliliğini kaybedecektir.;Ten link wygasa w ciągu ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)};Dette link udløber efter ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)}.;Tento odkaz vyprší za ${f.formatTimeDiffDateNowInUserLocale($!resetPasswordTokenExpirationDate)}.
SelfServiceUnlock_unlockAccountButtonText;Unlock account <unlock account link>;Desbloquee la cuenta <Enlace de la cuenta de desbloqueo>;Kilitli Hesabı Kullanıma Aç <Hesap Kilidini Açma Bağlantısı>;Odblokuj konto <odblokuj link konta>;Lås konto op <UNLOCK Account Link>;Odblokování účtu <odkaz na odblokování účtu>
SelfServiceUnlock_paragraph3;"This link expires in ${f.formatTimeDiffDateNowInUserLocale($!unlockAccountTokenExpirationDate)}
.";Este enlace expira en ${f.formatTimeDiffDateNowInUserLocale($!unlockAccountTokenExpirationDate)}.;Bu bağlantı ${f.formatTimeDiffDateNowInUserLocale($!unlockAccountTokenExpirationDate)} içerisinde geçerliliğini kaybedecektir.;Ten link wygasa w ciągu ${f.formatTimeDiffDateNowInUserLocale($!unlockAccountTokenExpirationDate)}.;Dette link udløber efter ${f.formatTimeDiffDateNowInUserLocale($!unlockAccountTokenExpirationDate)}.;Tento odkaz vyprší za ${f.formatTimeDiffDateNowInUserLocale($!unlockAccountTokenExpirationDate)}. 
AccountLockout_unlockAccountButtonText;Unlock account;Desbloquee la cuenta;Kilitli Hesabı Kullanıma Aç;Odblokuj konto;Lås konto op;Odblokování účtu
NewSignOnNotification_reportSuspiciousActivityButtonText;Report Suspicious Activity;Informar Actividad sospechosa;Şüpheli Etkinliği Bildirin;Zgłoś podejrzaną aktywność;Rapporter mistænksom aktivitet;Nahlášení podezřelé aktivity
UserActivation_paragraph4;"Your username is <strong> <a style=""color: #334870; text-decoration: none""> ${user.profile.login} </a> </strong> <br />. Your organization's sign-in page is ";"Su nombre de usuario es <strong> <a style=""color: #334870; text-decoration: none""> ${user.profile.login} </a> </strong> <br />
La página de inicio de sesión de su organización es";"Kullanıcı adınız <strong> <a style=""color: #334870; text-decoration: none""> ${user.profile.login} </a> </strong> <br />
Kuruluşunuzun oturum açma sayfası
";"Twoja nazwa użytkownika to <strong> <a style=""color: #334870; text-decoration: none""> ${user.profile.login} </a> </strong> <br />
Strona logowania Twojej organizacji to";"Dit brugernavn er <strong> <a style=""color: #334870; text-decoration: none""> ${user.profile.login} </a> </strong> <br />
Din organisations login-side er";"Vaše uživatelské jméno je <strong> <a style=""color: #334870; text-decoration: none""> ${user.profile.login} </a> </strong> <br />
Přihlašovací stránka Vaší organizace je "
UserActivation_paragraph5;If you experience difficulties accessing your account, you can send a help request to:;Si experimenta dificultades para acceder a su cuenta, puede enviar una solicitud de ayuda a:;Hesabınıza erişmekte zorluk çekiyorsanız, belirtilen adrese yardım isteği gönderebilirsiniz: ;Jeśli masz trudności z dostępem do swojego konta, możesz wysłać prośbę o pomoc: ;Hvis du oplever vanskeligheder med at få adgang til din konto, kan du sende en hjælpanmodning til: ;Pokud máte potíže s přístupem ke svému účtu, můžete zaslat žádost o pomoc na adresu:
ForgotPasswordDenied_paragraph2;At this time your password can only be reset by an administrator. Please send a help request to: ;En este momento, solo un administrador puede restablecer su contraseña. Contacte con nuestro equipo de soporte en:;Şu anda şifreniz yalnızca bir yönetici tarafından sıfırlanabilir. Lütfen bir yardım talebi gönderin: ;W tej chwili hasło może zostać zresetowane tylko przez administratora. Proszę wysłać prośbę o pomoc:;I dette tilfælde kan din adgangskode kun nulstilles af en administrator. Send en hjælpanmodning til: ;V současné době může heslo obnovit pouze správce. Žádost o pomoc zašlete na adresu: 
ForgotPassword_paragraph4;If you experience difficulties accessing your account, send a help request to your administrator:;Si experimenta dificultades para acceder a su cuenta, puede contactar con su administrador en:;Hesabınıza erişmekte sorun yaşıyorsanız, yöneticinize yardım talebi gönderin:;Jeśli masz trudności z dostępem do swojego konta, wyślij prośbę o pomoc do administratora:;Hvis du oplever vanskeligheder med at få adgang til din konto, skal du sende en hjælpanmodning til din administrator:;Pokud máte potíže s přístupem k vašemu účtu, pošlete žádost o pomoc svému administrátorovi: 
PasswordResetByAdmin_paragraph4;If you experience difficulties accessing your account, send a help request to your administrator:;Si experimenta dificultades para acceder a su cuenta, envíe una solicitud de ayuda a su administrador:;Hesabınıza erişmekte sorun yaşıyorsanız, yöneticinize yardım talebi gönderin:;Jeśli masz trudności z dostępem do swojego konta, wyślij prośbę o pomoc do administratora:;Hvis du oplever vanskeligheder med at få adgang til din konto, skal du sende en anmodning om hjælp til din administrator:;Pokud máte potíže s přístupem k vašemu účtu, pošlete žádost o pomoc svému administrátorovi:
SelfServiceUnlock_paragraph4;If you experience difficulties accessing your account, send a help request to your administrator:;Si experimenta dificultades para acceder a su cuenta, envíe una solicitud de ayuda a su administrador:;Hesabınıza erişmekte sorun yaşıyorsanız, yöneticinize yardım talebi gönderin:;Jeśli masz trudności z dostępem do swojego konta, wyślij prośbę o pomoc do administratora:;Hvis du oplever vanskeligheder med at få adgang til din konto, skal du sende en anmodning om hjælp til din administrator:;Pokud máte potíže s přístupem k vašemu účtu, pošlete žádost o pomoc svému administrátorovi:
AccountLockout_paragraph3;If that doesn't work, or if you did not initiate these login attempts, please contact your administrator:  ;Si eso no funciona, o si no inició estos intentos de inicio de sesión, comuníquese con su administrador: ;Bu işe yaramazsa veya bu giriş denemelerini başlatmadıysanız, lütfen yöneticinizle iletişime geçin: ;Jeśli to nie działa lub jeśli to nie Ty zainicjowałeś te próby logowania, skontaktuj się z administratorem: ;Hvis det ikke fungerer, eller hvis du ikke prøvede disse login-forsøg, bedes du kontakte din administrator: ;Pokud to nefunguje nebo pokud jste tyto pokusy o přihlášení neiniciovali, obraťte se na svého správce:  
NewSignOnNotification_paragraph4;The security of your account is very important to us and we want to ensure that you are updated when important actions are taken. ;La seguridad de su cuenta es muy importante para nosotros y queremos asegurarnos de que este actualizado cuando se realicen actividades importantes.;Hesabınızın güvenliği bizim için çok önemlidir ve önemli işlemler yapıldığında haberdar edildiğinizden emin olmak istiyoruz.;Bezpieczeństwo Twojego konta jest dla nas bardzo ważne i chcemy upewnić się, że zostaniesz zaktualizowany, gdy podejmowane są ważne działania.;Din kontosikkerhed er meget vigtig for os, og vi ønsker at sikre, at du opdateres, når der tages vigtige handlinger.;Bezpečnost Vašeho účtu je pro nás velmi důležitá a chceme zajistit, abyste byli informováni o důležitých krocích.
NewSignOnNotification_paragraph5;We were unable to determine if you had previously signed in with this device before. This notification is common if you are signing in a new device, a new browser, have deleted your cookies or are accessing Okta in Incognito Mode. ;No pudimos reconocer a este dispositivo. Esta notificación es común si está firmando en un nuevo dispositivo, un nuevo navegador, ha eliminado sus cookies o está accediendo a Okta en modo de incógnito.;"Daha önce bu cihazla oturum açıp açmadığınızı belirleyemedik. Bu bildirimi almanız; yeni bir cihazda, yeni bir tarayıcıda oturum açmanız halinde, çerezlerinizi silmeniz durumunda veya Gizli Modda Okta'ya erişiyorsanız olağandır.";Nie byliśmy w stanie ustalić, czy wcześniej logowałeś się na tym urządzeniu. To powiadomienie jest powszechne, jeśli logujesz się na nowym urządzeniu, w nowej przeglądarce, usunęłaś / usunąłeś swoje pliki cookie lub uzyskujesz dostęp do Okta w trybie incognito.;Vi var ikke i stand til at afgøre, om du tidligere har logget ind med denne enhed før. Denne meddelelse er almindelig, hvis du anvender en ny enhed, en ny browser, har slettet dine cookies eller får adgang til Okta i inkognito-tilstand.;Nepodařilo se nám zjistit, zda jste se již dříve přihlásili pomocí tohoto zařízení. Toto oznámení je běžné, pokud se přihlašujete novým zařízením, novým prohlížečem, odstranili jste soubory cookie nebo přistupujete k službě Okta v režimu inkognito. 
EmailChallenge_paragraph3;If you believe you have received this email in error, please reach out to your system administrator.;Si cree que ha recibido este correo electrónico por error, comuníquese con el administrador de su sistema.;Bu e -postayı yanlışlıkla aldığınızı düşünüyorsanız, lütfen sistem yöneticinize ulaşın.;Jeśli uważasz, że otrzymałaś / otrzymałeś ten e -maile w wyniku błędu, skontaktuj się z administratorem systemu.;Hvis du mener, at du har modtaget denne e-mail ved en fejl, skal du kontakte din systemadministrator.;Pokud se domníváte, že jste tento e -mail obdrželi omylem, obraťte se na správce systému.
